,Topic,document,Stance,Conclusion,Argument ID
2548,12,if organ trade were legal. more people would do it to make money.,against,We should legalize organ trade,A23352
2549,44,telemarketing is intrusive and unhelpful,in favor of,We should ban telemarketing,A23353
2550,12,the organ trade will mainly use poorer people to provide organs for the rich.,against,We should legalize organ trade,A23354
2551,4,we should legalize sex selection because i think people should be able to pick if they want their child to be a boy or a girl,in favor of,We should legalize sex selection,A23356
2552,10,intellectual property rights protect someone's research and hard work ensuring that they can be recognized and recompensed for their efforts.,against,We should abolish intellectual property rights,A23360
2553,3,nuclear weapons are expensive to maintain,in favor of,We should fight for the abolition of nuclear weapons,A23363
2554,9,i think the we shouldn't ban the use of child actors because is good for thier cultural formation,against,We should ban the use of child actors,A23364
2555,10,we should have free and open discourse of all ideas.  intellectual property prevents this and stunts our collective growth.,in favor of,We should abolish intellectual property rights,A23366
2556,13,school is for learning and teaching and anything else apart from that is just wrong.,in favor of,We should prohibit school prayer,A23369
2557,22,people should have the freedom to believe in a way of their choice. atheism forces people to  believe in one way and this is not the principle of freedom  the usa was founded upon.,against,We should adopt atheism,A23371
2558,8,"to legalize cannabis would be to tell people that it is safe to use, which is untrue, which would result in many more using it and an epidemic in psychological problems",against,We should legalize cannabis,A23373
2559,23,space exploration is needed to see how space can affect us here,in favor of,We should subsidize space exploration,A23374
2560,11,there is no need for gender-neutral language. someone could be an actress or an actor and can identify as either without changing the language that we use.,against,We should adopt gender-neutral language,A23375
2561,24,"cosmetic surgery is something that is life long.  which is why minors, who's brains are not fully matured yet, don't have the ability to truly make such a decision for themselves.",in favor of,We should ban cosmetic surgery for minors,A23376
2562,41,fast food is okay in moderation and doesn't need to get banned,against,We should ban fast food,A23377
2563,4,it helps to insure that the parents get the gender of the child they want and will love,in favor of,We should legalize sex selection,A23378
2564,18,a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished.,in favor of,We should adopt a multi-party system,A23381
2565,30,wikipedia makes enough money on it's own,against,We should subsidize Wikipedia,A23382
2566,58,the church of scientology indoctrinates people from an early age in a way that has lasting repercussions.,in favor of,We should ban the Church of Scientology,A23383
2567,55,Keeping and bearing arms is dangerous because accidents happen and people could die needlessly.,in favor of,We should abolish the right to keep and bear arms,A23384
2568,23,"the space exploration can be private and get money from private funds, why should we keep it?",against,We should subsidize space exploration,A23386
2569,19,collectivism helps to keep everyone in line since the group can ban anyone that steps out.,against,We should oppose collectivism,A23388
2570,17,legalizing prostitution promotes the sex trafficking industry,against,We should legalize prostitution,A23390
2571,32,a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.,in favor of,We should ban cosmetic surgery,A23391
2572,29,The three-strikes law gives victims peace of mind that the person who perpetuated a crime against them won't one day return and harm them again.,against,We should abolish the three-strikes laws,A23392
2573,46,zoo's are horrid places that keep animals in tiny cages and then charges the public high prices to see them.,in favor of,We should abolish zoos,A23393
2574,25,pride parades should be permitted because all people should be allowed to celebrate what they believe in.,against,We should cancel pride parades,A23394
2575,6,"student loan debt is an enormous pressure on working people, and should be subsidized.",in favor of,We should subsidize student loans,A23395
2576,81,"they laws don't stop crime, they just punish people harder.",in favor of,We should abolish the three-strikes laws,A23397
2577,44,"telemarketing is an irritant, a waste of time,  and gives too many people spam calls which isn't helpful when the person is waiting for  a phone call from a potential employer, etc.",in favor of,We should ban telemarketing,A23398
2578,20,Journalism is a vital source of real information and news to make sure people are properly informed about the world so subsidizing it would help ensure that it continues without bias.,in favor of,We should subsidize journalism,A23401
2579,28,algorithmic trading helps people trade with a smaller risk of financial losses.,against,We should ban algorithmic trading,A23402
2580,-1,minors should have a choice in what to do with their bodies,against,We should ban cosmetic surgery for minors,A23406
2581,58,it is basically a cult that steals money from naive people.,in favor of,We should ban the Church of Scientology,A23407
2582,22,people should be able to believe whatever they want and not be forced into atheism.,against,We should adopt atheism,A23408
2583,3,nuclear weapons are important in the fight against those who want to hurt their enemies,against,We should fight for the abolition of nuclear weapons,A23410
2584,16,by providing a high compensation to the executives of a company you can get a higher quality employee and the business will make more money. therefore we should not limit their pay.,against,We should limit executive compensation,A23411
2585,25,pride parades sometimes bring out hate and crazy people.,in favor of,We should cancel pride parades,A23412
2586,62,it is dangerous to have a community where so many people have lethal weapons,in favor of,We should abolish the right to keep and bear arms,A23413
2587,13,"zero-tolerance policies ensures pupils know exactly where they are in terms of rules and regulations leaving no room for ambiguity, thus ensuring better behaviour.",in favor of,We should adopt a zero-tolerance policy in schools,A23415
2588,43,libertarianism runs roughshod over every collective and communal human right and entitlement.  privileged individuals prosper whilst the rest of society suffers. it should most definitely not be adopted,against,We should adopt libertarianism,A23416
2589,41,"we should not ban a food simply because it is quick to buy! we can tax or ban the harmful components like saturated fat, and actually target the issue rather than indiscriminately target the convenience.",against,We should ban fast food,A23417
2590,59,Cloning could lead to designer humans and we will lose the diversity of the human race,in favor of,We should ban human cloning,A23419
2591,71,we should ban missionary work as it could be dangerous,in favor of,We should ban missionary work,A23420
2592,11,this is a profession that has been going on for thousands of years so we should finally recognize it as a real job for women,in favor of,We should legalize prostitution,A23421
2593,17,prostitution will cause a more dangerous environment for those trying to escape and will make sex trafficking more common,against,We should legalize prostitution,A23422
2594,26,judicial activism should be limited as judges should stick to their job and not try to grandstand on issues to gain popularity.,in favor of,We should limit judicial activism,A23424
2595,82,"people should be free and open to make their own choices and if they should make any decisions that they later regret, then this will teach them important lessons for the rest of their life",against,We should ban cosmetic surgery for minors,A23425
2596,10,intellectual property rights stifle growth and information by stopping the free-flowing of ideas.,in favor of,We should abolish intellectual property rights,A23426
2597,60,missionary work is important as it brings relgion to new countries.,against,We should ban missionary work,A23428
2598,20,Newspapers and magazines are currently struggling and need subsidization to stay solvent.,in favor of,We should subsidize journalism,A23429
2599,61,wikipedia provides information that is free and easy to get on any subject,in favor of,We should subsidize Wikipedia,A23431
2600,33,we should ban factory farming as it poses a huge health risk by passing on diseases and bacteria to people.,in favor of,We should ban factory farming,A23432
2601,4,We should legalize sex selection because there is no harm to third parties that the government needs to intervene to prevent.,in favor of,We should legalize sex selection,A23434
2602,27,whaling should be banned because we need to protect whales from becoming extinct.,in favor of,We should ban whaling,A23435
2603,-1,"far too few people actually vote, meaning that those in government are not truly representative of the people.",in favor of,We should introduce compulsory voting,A23436
2604,14,an austerity regime promotes the continuation and growth of a country's debt which allows dependence on others instead of addressing and repairing issues of a particular country preventing self-growth.,against,We should adopt an austerity regime,A23437
2605,59,human cloning can give us medical breakthroughs,against,We should ban human cloning,A23439
2606,13,"We should not adopt a zero-tolerance policy in schools- children need more tolerance in their lives in order to flourish, and creating a zero-tolerance policy will cause harm and suffering.",against,We should adopt a zero-tolerance policy in schools,A23440
2607,35,private military companies offer a valuable service for instances where government military cannot do what needs to be done for fear or repercussions.,against,We should ban private military companies,A23441
2608,2,mandatory retirement forces people to end careers before they are ready,in favor of,We should end mandatory retirement,A23443
2609,32,"cosmetic surgery is not needed, and vain.",in favor of,We should ban cosmetic surgery,A23444
2610,38,"we should not ban scientology, the sensationalist stories have never been proven so we would be passing judgement before any wrongdoing is confirmed",against,We should ban the Church of Scientology,A23445
2611,1,"globally, over 1 million people die a year in car crashes.   to be able to have self driving safe cars that save that many lives a year would be outstanding.   robots and self driving cars are the future.",against,We should stop the development of autonomous cars,A23447
2612,24,minors are unable to make such a life changing decision as cosmetic surgery,in favor of,We should ban cosmetic surgery for minors,A23450
2613,18,a multi-party system could add more complexity and create situations where issues become impossible to resolve.,against,We should adopt a multi-party system,A23451
2614,89,"evil has penetrated society, and there are times when there is no other way out to eradicate it than to resort to force, evil can not be overcome with discourses, it is necessary to fight fire with fire.",against,We should ban targeted killing,A23452
2615,14,an austerity regime helps to balance the nation's budget and reduce national debt.,in favor of,We should adopt an austerity regime,A23454
2616,5,Giving a killer the death sentence will stop them  doing it again,against,We should abolish capital punishment,A23455
2617,14,Austerity regime is important for maintaining only important spending from government when their is lack of economic growth in the country. It helps in cutting useless spending and revitalize the economy,in favor of,We should adopt an austerity regime,A23456
2618,19,"Collectivism as a philosophy has historically been used to commit atrocities and silence political dissent against oppressive regimes, such as in the case of Stalin's USSR.",in favor of,We should oppose collectivism,A23457
2619,15,we need these sanctions to protect our security,against,We should end the use of economic sanctions,A23459
2620,31,safe spaces may be the intention but people do not necessarily adhere to such titles and their would be no differentiation of a safe space vs. negative.,in favor of,We should abolish safe spaces,A23460
2621,35,private companies have less strict guidelines and less oversight which makes them careless,in favor of,We should ban private military companies,A23461
2622,-1,it can help cure diseases & the research looks promising,in favor of,We should subsidize embryonic stem cell research,A23462
2623,-1,"without any sense or order or control, criminals would run rife.",against,We should adopt libertarianism,A23463
2624,19,collectivism makes sure that all are taken care of and the weak will provided for.,against,We should oppose collectivism,A23464
2625,44,telemarketing is a valid means of advertising and is not dangerous for the people,against,We should ban telemarketing,A23466
2626,14,juggling debt in never a good option compared to paying it off properly.,against,We should adopt an austerity regime,A23468
2627,22,"we shouldn't adopt atheism because everyone needs something to believe in, and without no rules (10 commandments) or no promise of a better afterlife, society would collapse",against,We should adopt atheism,A23469
2628,13,a zero tolerance policy will lead to safer schools by removing troublemakers immediately,in favor of,We should adopt a zero-tolerance policy in schools,A23470
2629,4,some women have no other way to support themselves and their children,in favor of,We should legalize prostitution,A23471
2630,46,zoos are cruel to the animals taking them out of their natural environment,in favor of,We should abolish zoos,A23472
2631,57,human cloning should be banned as it is equivalent to playing god.,in favor of,We should ban human cloning,A23473
2632,46,they are places where the animals are mistreated nobody knows how much an animal suffers that is taken out of its habitat only for human entertainment,in favor of,We should abolish zoos,A23475
2633,58,the church of scientology is a corrupt organization that preaches extreme values and is detrimental to society.,in favor of,We should ban the Church of Scientology,A23479
2634,26,judicial activism should be limited as there are basic reasons why a law was put in place and a single judge should not be able to choose to ignore the basic law.,in favor of,We should limit judicial activism,A23480
2635,61,"wikipedia is the only free source of information with references that's guaranteed to be accurate. it's needed, especially for those who can't afford anything else.",in favor of,We should subsidize Wikipedia,A23481
2636,8,we shouldn't legalize cannabis as it could introduce more drugs to the user,against,We should legalize cannabis,A23482
2637,41,fast food is a cheap treat and to ban it would be to take the joy out of life for many people.,against,We should ban fast food,A23483
2638,15,economic sanctions help our country.,against,We should end the use of economic sanctions,A23485
2639,60,missionary work is very helpful to many,against,We should ban missionary work,A23487
2640,5,capital punishment is a strong disincentive against commuting crime,against,We should abolish capital punishment,A23488
2641,36,it is not right to force people that do not want to participate in voting to do so.,against,We should introduce compulsory voting,A23489
2642,67,we should not abolish the olympic games because it is a form of entertainment for many people,against,We should abolish the Olympic Games,A23490
2643,40,We should adopt libertarianism because it would lead to fewer international conflicts if states were weaker.,in favor of,We should adopt libertarianism,A23492
2644,9,we should ban the use of child actors as they should be concentrating on getting an education first,in favor of,We should ban the use of child actors,A23493
2645,23,space exploration may be of tremendous benefit to mankind but isn't practical for private enterprise to fund because of the enormous costs involved,in favor of,We should subsidize space exploration,A23494
2646,15,economic sanctions keep people from doing bad by costing them precious money,against,We should end the use of economic sanctions,A23495
2647,59,human cloning shows us pushing the boundaries of science to their fullest potential.  think of all we can learn if we perfect cloning.  it shows how far man has come and can continue to go.,against,We should ban human cloning,A23498
2648,41,Fast food is a leading cause of obesity in the world and needs to be banned.,in favor of,We should ban fast food,A23499
2649,-1,it would help in research for breakthroughs in health,against,We should ban human cloning,A23500
2650,24,minors are too young to make life changing decisions required fr cosmetic surgery.,in favor of,We should ban cosmetic surgery for minors,A24001
2651,55,we can't arbitrarily overturn a constitutional amendment.,against,We should abolish the right to keep and bear arms,A24003
2652,52,we should ban cosmetic surgery because the patients might get cancer when it is done over and over again,in favor of,We should ban cosmetic surgery,A24007
2653,17,legitimate prostitutes as in those not forced into the trade are hurting no one and simply providing pleasure at a cost.  pleasure that some people can't get obtain any other way.,in favor of,We should legalize prostitution,A24011
2654,71,"We should ban missionary work because it convinces people to abandon their culture and adopt a dominant, colonial culture instead, which damages our shared cultural heritage.",in favor of,We should ban missionary work,A24012
2655,23,we should not subsidize something like space exploration because it would put lives at risk.,against,We should subsidize space exploration,A24013
2656,47,zoos make it possible to protect endangered animals from extinction,against,We should abolish zoos,A24014
2657,8,legalized cannabis can be more closely regulated and taxed. it makes it safer than illegal weed and helps provide tax dollars.,in favor of,We should legalize cannabis,A24016
2658,22,"religions produce color to the world and celebrate the diversity of people so it would be a duller world without it, so we should not adopt atheism.",against,We should adopt atheism,A24017
2659,25,"pride prides are an expression of free speech and therefore, constitutionally protected.",against,We should cancel pride parades,A24018
2660,75,"the olympic games are a hugely expensive enterprise to host, and history is littered with countries left financially broken in the aftermath.",in favor of,We should abolish the Olympic Games,A24019
2661,24,cosmetic surgery for minors does not address self-esteem issues and the results of cosmetic surgery are irreversible.,in favor of,We should ban cosmetic surgery for minors,A24021
2662,15,economic sanctions do nothing to those in power and ruin the lives of ordinary citizens instead.,in favor of,We should end the use of economic sanctions,A24022
2663,50,"people have the right to follow whatever religion they choose, even if they worship a science fiction novel.",against,We should ban the Church of Scientology,A24027
2664,4,"this is needed in areas where the population is unequal. when only one sex is the majority, that population would eventually cease. there wouldn't be enough mates.",in favor of,We should legalize sex selection,A24028
2665,-1,telemarketers  try to force a product or service without caring if you even need it,in favor of,We should ban telemarketing,A24029
2666,21,schools are part of the state system. since we have a legal obligation to keep the separation of church and state we can't allow prayer in schools as this would violate that.,in favor of,We should prohibit school prayer,A24030
2667,20,journalism needs diversitiy desperately because only six corporations control ninety percent of all media.,in favor of,We should subsidize journalism,A24033
2668,40,with the rise of racism and white supremacy we should adopt libertarianism into our society.   allowing for open borders and anyone and everyone to come here and live the life we all want.,in favor of,We should adopt libertarianism,A24034
2669,40,Libertarianism would lead to crumbling infrastructure without taxes to fund the government.,against,We should adopt libertarianism,A24039
2670,62,gun ownership is a personal right and a form of personal protection in an ever-increasingly hostile and dangerous world.,against,We should abolish the right to keep and bear arms,A24040
2671,47,zoos do very important work for conservation. their breeding programmes have stopped some species from becoming extinct.,against,We should abolish zoos,A24041
2672,25,to support gay people then we should allow pride parades,against,We should cancel pride parades,A24042
2673,59,human cloning could lead to scientific breakthroughs that could solve many of the world's problems.,against,We should ban human cloning,A24044
2674,21,we shouldn't prohibit school prayer as it's a human right to be able to pray,against,We should prohibit school prayer,A24045
2675,24,We should ban cosmetic surgery for minors because it sends a message to young people that conventional attractiveness is more important than health.,in favor of,We should ban cosmetic surgery for minors,A24046
2676,81,"criminals should have a chance to go straight, even if they've committed the same crime multiple times.",in favor of,We should abolish the three-strikes laws,A24047
2677,49,targeted killing streamlines combat operations in order to only inflict the casualties necessary.,against,We should ban targeted killing,A24048
2678,28,algorithmic trading has been reported as one of the main causes of the greatest fall in the dow in decades,in favor of,We should ban algorithmic trading,A24049
2679,73,we should not cancel pride parades because it would be an infingement of freedom of expression and of the right to free speech.,against,We should cancel pride parades,A24050
2680,37,compulsory voting will represent all of the people not only those who already vote,in favor of,We should introduce compulsory voting,A24052
2681,9,child actors don't miss out on school as they often have a tutor on the set,against,We should ban the use of child actors,A24053
2682,-1,freedom of religion should allow the church of scientology to keep operating,against,We should ban the Church of Scientology,A24054
2683,78,many citizens are morally opposed to using embryonic stem cells and using their tax dollars to fund it would be immoral.,against,We should subsidize embryonic stem cell research,A24055
2684,11,if everything was gender neutral it would make everyone equal.,in favor of,We should adopt gender-neutral language,A24056
2685,18,a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect.,in favor of,We should adopt a multi-party system,A24059
2686,4,sex selection should not be legalized because it is counter to nature,against,We should legalize sex selection,A24060
2687,19,sometimes it's easier to get one's voice across if the voice is heard as a group,against,We should oppose collectivism,A24061
2688,16,"there should not be a limit to executive compensation, they deserve to be compensated based on the profits of the company.",against,We should limit executive compensation,A24063
2689,9,"child actors miss out on growing up naturally as a child should, with proper education, stable background and without the pressures of work at a young age and so they should be banned",in favor of,We should ban the use of child actors,A24064
2690,13,"we need to remember we are talking about children not criminals, this policy is far too harsh and unnecessary. let children be children.",against,We should adopt a zero-tolerance policy in schools,A24065
2691,15,by imposing economic sanctions against a country you will force them to change the way they are doing things because it creates a hardship for the citizens who will in turn rebel against the government,against,We should end the use of economic sanctions,A24066
2692,8,cannabis should be not be legalized because it is a mind-altering drug that has many negative side effects.,against,We should legalize cannabis,A24068
2693,16,executive compensation is a joke. it's executives rewarding themselves on the backs of shareholders regardless of how well a company performs.,in favor of,We should limit executive compensation,A24069
2694,27,whales are necessary for ecological sustainability of the oceans,in favor of,We should ban whaling,A24070
2695,10,if someone invents something they should be able to profit from it,against,We should abolish intellectual property rights,A24071
2696,6,"graduates earn more over a lifetime than their peers, this gives them plenty of opportunity to repay their debts.",against,We should subsidize student loans,A24072
2697,5,There have been and always will be cases of executions of innocent people,in favor of,We should abolish capital punishment,A24073
2698,2,"Many jobs, like airplane pilots and doctors, are tasked with they physical safety of hundred of others. Companies have an obligation to make sure people holding those positions are the most capable, which old age threatens.",against,We should end mandatory retirement,A24075
2699,23,space exploration should be subsidized as it will benefit us in the future with technology advancements.,in favor of,We should subsidize space exploration,A24079
2700,14,helping our government and our country is mandatory for all of us and austerity regime must be adopted.,in favor of,We should adopt an austerity regime,A24080
2701,8,we should legalize cannabis because it can help people with certain health problems be relieved of their symptoms,in favor of,We should legalize cannabis,A24081
2702,-1,it is inhumane and unnecessary it teaches that violence is a solution it can open the door to abuse,in favor of,We should abolish capital punishment,A24083
2703,13,adopting a zero tolerance in schools will help reduce the amount of bullying that happens.,in favor of,We should adopt a zero-tolerance policy in schools,A24085
2704,31,"safe spaces provide a needed service, to give people a place to go where they won't be judges for who they are",against,We should abolish safe spaces,A24086
2705,33,"factory farming provides negative outcomes across several areas, the most important of which is personal livelihood, so it should be banned.",in favor of,We should ban factory farming,A24087
2706,86,parents of minors should be the people making the determination as they know the needs of their own children over government enforcing bans that impede on such.,against,We should ban cosmetic surgery for minors,A24088
2707,18,more political parties give people more of a choice to support what they believe in.,in favor of,We should adopt a multi-party system,A24091
2708,28,algorithmic trading gives some people an unfair advantage,in favor of,We should ban algorithmic trading,A24092
2709,2,"people simply can't compete with others in the same professional setting once they reach a certain age, mandatory retirement is necessary for fair competition in a limited job market",against,We should end mandatory retirement,A24093
2710,68,we should not abolish safe spaces because they are vital for people who struggle in social situations and need a calm area to calm down when experiencing a panic attack.,against,We should abolish safe spaces,A24097
2711,5,the punishment should be equal to the crime. it also might deter others from murder if they know they will lose their own life.,against,We should abolish capital punishment,A24099
2712,30,"wikipedia is a private organisation,the government should not get involved.",against,We should subsidize Wikipedia,A24100
2713,35,private military companies are a business like any other and are subject to national and international regulations,against,We should ban private military companies,A24101
2714,47,Zoos are a great way for people to learn about animals,against,We should abolish zoos,A24103
2715,10,copyright laws protect artistic creations.,against,We should abolish intellectual property rights,A24104
2716,10,we should abolish intellectual property rights as the law is very complex and it is very easy to infringe copyright.,in favor of,We should abolish intellectual property rights,A24105
2717,19,"collectivism does not allow one person to stand out from the others, which can be negative",in favor of,We should oppose collectivism,A24107
2718,3,"The alternative to nuclear weapons are bio-weapons and chemical weapons, which are more likely to be used, more horrific in their outcomes, and more dangerous as they can be spread person to person.",against,We should fight for the abolition of nuclear weapons,A24108
2719,27,whaling is contributing to the extinction of a lifeform and is unethical,in favor of,We should ban whaling,A24110
2720,60,people can learn a lot from doing missionary work and it can enrich their lives travelling around the world and learning about different cultures,against,We should ban missionary work,A24111
2721,63,whaling has been an intergral part of many cultures for centuries.,against,We should ban whaling,A24112
2722,34,factory farming is necessary to sustain the current population level and is needed in order to make farming profitable at this time in history.,against,We should ban factory farming,A24113
2723,52,there are so many bogus cosmetic surgery out there that it needs to be banned before we have a bunch of freaks walking the earth.,in favor of,We should ban cosmetic surgery,A24114
2724,10,we need to do away with intellectual property rights so it doesn't slow down innovation,in favor of,We should abolish intellectual property rights,A24115
2725,-1,"missionaries help feed the hungry, build housing and educate people so we should not stop them even if they are advocating their personal religious beliefs at the same time",against,We should ban missionary work,A24116
2726,20,we should subsidize journalism because we need people to accurately and thoroughly cover events around the world. the government has historically aided journalism without bias.,in favor of,We should subsidize journalism,A24117
2727,7,"uniform is important to give students a sense of school identity and to make all pupils equal, where there is no uniform it is easier for rich students to bully those who do not have the most expensive clothes.",against,We should abandon the use of school uniform,A24119
2728,-1,ensuring everyone has a voice in our elections is critical to a functioning democracy,in favor of,We should introduce compulsory voting,A24121
2729,17,"We should not legalize prostitution because prostitution is coercive and given a free choice and maximum information, almost no rational person would become a prostitute.",against,We should legalize prostitution,A24123
2730,4,"sex selection will invariably lead down a slippery slope of screening for other genetic factors: hair color, handedness, etc. where will it stop?",against,We should legalize sex selection,A24125
2731,11,Gender-neutral language is helpful in making everyone in a room feel comfortable.,in favor of,We should adopt gender-neutral language,A24126
2732,17,legalizing prostitution would allow the government to regulate prostitution and make it safer.,in favor of,We should legalize prostitution,A24127
2733,59,"contamination can happen very easy, cloning a human with contaminated cells could lead to diseases with no cure being spread worldwide",in favor of,We should ban human cloning,A24128
2734,3,"The use of nuclear weapons would have catastrophic consequences for humans, and the effects of radiation would cause suffering and death for many years after the initial explosion.",in favor of,We should fight for the abolition of nuclear weapons,A24129
2735,20,we should not subsidize journalism as they are private companies and can raise tons of money without our fear of bad reporting because their company would tank if they reported bad news.,against,We should subsidize journalism,A24132
2736,40,Libertarianism would cause chaos in a large country as there would be no set rules and regulations.,against,We should adopt libertarianism,A24133
2737,29,the three-strikes law is good at keeping criminals off of the streets,against,We should abolish the three-strikes laws,A24134
2738,26,judicial activism allows judges to argue their own views instead of making decisions based on existing constitutional law.,in favor of,We should limit judicial activism,A24137
2739,43,libertarianism is a form of selfishness which promotes the rights of the individual over the rights of everyone.,against,We should adopt libertarianism,A24138
2740,1,"autonomous cars rely on computer software, so like any computer controlled device, they are susceptible to being hacked",in favor of,We should stop the development of autonomous cars,A24140
2741,71,we should not ban missionary work because a lot of progress has been made because of it in poor countries.,against,We should ban missionary work,A24141
2742,12,if organ trade was legal it would be easier for people to get the organs that they need.,in favor of,We should legalize organ trade,A24142
2743,57,Human cloning goes against nature and should be banned.,in favor of,We should ban human cloning,A24145
2744,50,we live in a free society where people should be allowed to practise whatever religion they choose.,against,We should ban the Church of Scientology,A24146
2745,30,it could lead to donors trying to influence the content,against,We should subsidize Wikipedia,A24148
2746,51,embryonic stem cell research could potentially save millions of lives and needs  as much support as it can get.,in favor of,We should subsidize embryonic stem cell research,A24149
2747,59,we should allow scientists to continue to try to clone humans.  just as medical treatments have progressed in the world who can predict what types of improvements in ending disease could occur.,against,We should ban human cloning,A24150
2748,19,collectivism is necessary for people to help one another and endure.,against,We should oppose collectivism,A24152
2749,16,the people doing the real work are the regular associates and executives shouldn't get rewarded for someone else's work,in favor of,We should limit executive compensation,A24154
2750,6,for some students taking a student loan is the only way to afford studying,in favor of,We should subsidize student loans,A24155
2751,28,Algorithmic trading will put many stock brokers and analysts out of business.,in favor of,We should ban algorithmic trading,A24157
2752,14,adopting an austerity regime is the best way for the country to reduce its huge debt,in favor of,We should adopt an austerity regime,A24160
2753,22,we should adopt atheism so as not to be tied to doing things by some religions,in favor of,We should adopt atheism,A24161
2754,-1,if there are 3 minor offenses there is no need to overly punish someone.,in favor of,We should abolish the three-strikes laws,A24162
2755,12,we should legalize organ trade because it will be better monitored than having organs being sold on the black market,in favor of,We should legalize organ trade,A24165
2756,26,judicial activism should be limited because law making is best done by the legislative and executive branches of government,in favor of,We should limit judicial activism,A24166
2757,7,we should not abandon the use of school uniform to make sure everyone is wearing the same thing to make people not stand out due to less money or resources,against,We should abandon the use of school uniform,A24167
2758,79,fast food is necessary in our modern world and help people have a cheap meal,against,We should ban fast food,A24168
2759,70,"human cloning opens up a whole new level of ethics, such as the rights of the clone, that we are unprepared to handle legally and morally.",in favor of,We should ban human cloning,A24171
2760,5,It is unjust to force government employees to kill a person the way capital punishment does.,in favor of,We should abolish capital punishment,A24172
2761,25,pride parades cause too many problems in the community.  they disrupt the peace and cause a lot of litter,in favor of,We should cancel pride parades,A24173
2762,8,we should legalize cannabis for best healthy of body,in favor of,We should legalize cannabis,A24174
2763,3,Nuclear weapons are an expensive to build and maintain. These resources could be put to better use.,in favor of,We should fight for the abolition of nuclear weapons,A24175
2764,79,"in moderation, fast food can be a treat or convenient meal for busy people.  we should allow people to enjoy it.",against,We should ban fast food,A24176
2765,10,"intellectual property rights are vital to ensure those taking the initial financial risks with new concepts are ultimately those who experience the greatest reward, and don't see there work misappropriated.",against,We should abolish intellectual property rights,A24177
2766,32,cosmetic surgery can help people with self esteem issues,against,We should ban cosmetic surgery,A24178
2767,1,autonomous cars are computerized and are open to hacking. at that point they can become a dangerous weapon to not only the driver but everyone around him.,in favor of,We should stop the development of autonomous cars,A24179
2768,7,school uniforms keep school from becoming a fashion show.,against,We should abandon the use of school uniform,A24180
2769,4,we should not legalize sex selection because it might cause an unbalanced society.,against,We should legalize sex selection,A24181
2770,5,capital punishment is a deterrent for others to commit the same crimes.,against,We should abolish capital punishment,A24182
2771,12,we should legalize organ trade because people would benefit by having a better life,in favor of,We should legalize organ trade,A24183
2772,35,if a private military company sends it's employees to dangerous places then it saves the lives of soldiers who won't be sent there,against,We should ban private military companies,A24186
2773,24,"cosmetic surgery for minors should not be banned since their right to autonomy still stands, event if it's applied by their parents (or any other legal guardian).",against,We should ban cosmetic surgery for minors,A24187
2774,30,"wikipedia often provides biased, inaccurate information due to lax editing policies and procedures.",against,We should subsidize Wikipedia,A24188
2775,11,gender-neutral language should not be adopted as it will cause resentment among those who strongly identify with either their birth or adopted sex,against,We should adopt gender-neutral language,A24191
2776,18,the multi-party system offers voters more choices that may get more people involved in politics,in favor of,We should adopt a multi-party system,A24193
2777,16,Executive level employees have worked hard to achieve the level they have  and should be compensated for this.,against,We should limit executive compensation,A24194
2778,23,"Subsidies are a zero sum game, by subsidizing space exploration we are neglecting more important fields such as education or affordable housing.",against,We should subsidize space exploration,A24195
2779,9,children are far too easy to exploit and they sometimes end up being far too precocious at an early age due to fame and all it brings.,in favor of,We should ban the use of child actors,A24196
2780,13,the security of child and teachers is esential for all,in favor of,We should adopt a zero-tolerance policy in schools,A24197
2781,37,compulsory voting gives everyone in society their say in politics,in favor of,We should introduce compulsory voting,A24199
2782,36,compulsory voting shouldn't be introduced because it violates freedom of choice.,against,We should introduce compulsory voting,A24200
2783,2,we should end mandatory retirement because it should be up to each individual what age they feel they are unable to work any longer,in favor of,We should end mandatory retirement,A24201
2784,82,everyone has a right to make this choice,against,We should ban cosmetic surgery,A24202
2785,-1,"we need to do whatever it takes to keep our citizens safe, and that includes getting rid of individuals that lead and encourage  terrorist organizations.",against,We should ban targeted killing,A24203
2786,1,people need the freedom to drive where they want by themselves.,in favor of,We should stop the development of autonomous cars,A24204
2787,11,"the old days of labeling careers as a mailman, etc are sexist and outdated.  women can do anything men can, and adopting a gender neutral language would reinforce that concept.",in favor of,We should adopt gender-neutral language,A24207
2788,49,"in a certain way, the selective assassination in politics is beneficial for countries that have this, as a means to alleviate their problems",against,We should ban targeted killing,A24208
2789,41,"fast food should be banned because it is nutritionally lacking in many essential nutrients, plus it provides substances that are totally unhealthy to the human diet, such as excess fat and sugar.",in favor of,We should ban fast food,A24209
2790,16,High executive compensation is necessary to get the best executives for your company,against,We should limit executive compensation,A24215
2791,13,"Zero-tolerance policies leave no room for explaining mitigating circumstances, which is both unfair to the individual being punished and also sends a negative message to the school community as a whole.",against,We should adopt a zero-tolerance policy in schools,A24216
2792,-1,this is the only way to maintain order,in favor of,We should adopt a zero-tolerance policy in schools,A24218
2793,12,we should not legalize the organ trade because it would lead to the exploitation of the poor for the benefit of the rich,against,We should legalize organ trade,A24219
